甲数除以乙数的商是1.5，如果甲数增加20，则甲数是乙的4倍．原来甲数=．	20/(4-1.5)*1.5=12.0	{甲数, 乙数, 商, 1.5, 增加, 20, 4倍, 原来甲数}
李阿姨买了6箱苹果，每箱24千克，每千克2.5元，一共要花多少元？	6*24*2.5=360.0	{李阿姨，买了，6箱，苹果，每箱，24千克，每千克，2.5元，一共，要花，多少元}
太子山水泥厂要生产3600吨水泥，原计划用60天，实际只用了40天就完成了任务．实际平均每天比计划每天多生产多少吨水泥？	3600/40-3600/60=30.0	{太子山水泥厂, 3600吨, 水泥, 60天, 实际, 40天, 完成任务, 实际平均每天, 计划每天, 多生产, 吨}
修路队修一条路，第一天收了全长的(1/5)，第二天修了45m，两天共修了100m，这条路长多少米？	(100-45)/(1/5)=275.0	{修路队, 修, 第一天, 收, 全长, 1/5, 第二天, 修, 45m, 两天, 共修, 100m, 这条路, 长}
小明上山时每小时行3千米，原路返回时每小时行5千米，求小明往返的平均速度．	(1+1)/(1/3+1/5)=3.75	{小明, 上山, 每小时, 行3千米, 原路返回, 每小时, 行5千米, 往返, 平均速度}
利民超市玩具柜台购进了150个溜溜球，每个卖25元，全部卖出后赚了600元，每个溜溜球的进价=多少元？	(25*150-600)/150=21.0	{利民超市, 玩具柜台, 购进, 150个, 溜溜球, 每个, 卖25元, 全部卖出, 赚了600元, 进价}
一个班男生占全班的(3/5)，女生是男生的多少．	(1-(3/5))/(3/5)=0.6666666666666666	{男生, 全班, (3/5), 女生, 多少}
小明集纪念邮票204张，特种邮票340张，他集邮的张数是他妹妹的17倍．他妹妹集邮多少张？	(204+340)/17=32.0	{小明, 纪念邮票, 204张, 特种邮票, 340张, 妹妹, 17倍, 集邮, 张数}
一辆车从甲地开往乙地，上午行了200千米，下午行了250千米，还剩(1/10)没行，甲乙两地相距多少千米？	(200+250)/(1-(1/10))=500.0	{甲地, 乙地, 上午, 200千米, 下午, 250千米, 剩余, (1/10), 相距}
张老师带50元钱去买奖品，2.4元的奖品买了18份，应找回多少钱？	50-2.4*18=6.8	{张老师, 50元, 奖品, 2.4元, 18份, 找回}
一个水果店运一批水果．第一次运了50千克，第二次运了70千克，两次正好运了这批水果的(1/4)，这批水果有多少千克？	(50+70)/(1/4)=480.0	{水果店, 运, 水果, 第一次, 50千克, 第二次, 70千克, 两次, 1/4, 千克}
长青小学四年级278人去儿童大剧院看电影，全部入座后还有6排空座位，每排48个座位．这个儿童大剧院一共可以坐多少人？	278+48*6=566.0	{长青小学, 四年级, 278人, 儿童大剧院, 看电影, 全部入座, 6排, 空座位, 每排, 48个座位}
A、B两数的比是5：9，如果A=30，那么，B=．	30/((5)/(5+9))-30=54.0	{A, B, 比是, 5:9, A=30, B=．}
六年级有女生100人，男生比女生少3%．男生有多少人？	100*(1-3%)=97.0	{六年级, 女生, 100人, 男生, 比女生少, 3%, 男生有多少人}
把一个小数扩大100倍得735，这个小数原来=．	735/100=7.35	{小数, 扩大100倍, 735, 原来}
小明每分钟跳绳120下，小强跳的是小明的(5/8)，小强每分钟跳绳多少下？	120*(5/8)=75.0	{小明, 跳绳, 120下, 小强, 5/8}
一本书120页，第一天看了全书的(1/4)，第二天看了20页，两天共看了全书的几分之几？	20/120+(1/4)=0.4166666666666667	{一本书, 120页, 第一天, 全书, 1/4, 第二天, 20页, 两天, 共看, 几分之几}
火车每小时行108千米，飞机的速度是火车的9倍，飞机每小时飞行多少千米？	108*9=972.0	{火车, 每小时, 108千米, 飞机, 速度, 9倍, 飞行, 千米}
乐乐书店有婴儿画报205本，儿童画报是婴儿画报的3倍，两种画报一共有多少本？	205*3+205=820.0	{乐乐书店, 婴儿画报, 205本, 儿童, 3倍, 两种画报, 一共}
一个分数的分子和分母同时缩小4倍后是(3/5)，这个分数原来=．	(3/5)=0.6	{分数，分子，分母，缩小4倍，3/5，原来}
在一次跳远比赛中，尹星跳了3.5米，刘强比尹星少跳0.46米，肖平比刘强多跳0.35米，肖平跳了多少米？	3.5-0.46+0.35=3.39	{跳远比赛, 尹星, 3.5米, 刘强, 少跳, 0.46米, 肖平, 多跳, 0.35米}
汽车从甲地开往乙地，每小时行40千米，3小时后剩下的路程比全程的一半少8千米．如改用每小时52千米的速度行驶，再行几小时到达乙地？	((40*3-8)-8)/52=2.0	{汽车, 甲地, 乙地, 每小时, 40千米, 3小时, 剩下的路程, 全程, 一半, 少8千米, 52千米, 速度, 行驶, 几小时, 到达}
一小袋糖重(1/8)千克，一大袋糖重(4/8)千克，一小袋糖比一大袋糖轻几分之几千克？	(4/8)-(1/8)=0.375	{小袋糖, 1/8, 千克, 大袋糖, 4/8, 千克, 比轻, 几分之几, 千克}
在一次中国象棋比赛中，一共有6名运动员参加比赛．如果每2名运动员之间都要进行一场比赛，一共要比赛多少场．	(6-1)*6/2=15.0	{中国象棋, 比赛, 6名运动员, 进行比赛, 2名运动员, 一共, 比赛, 场}
甲乙两根同样长钢管，如果把甲截(1/5)接到乙管上，这时乙管长9米．原来乙管长多少米？	9/(1+(1/5))=7.5	{甲, 乙, 两根, 同样长, 钢管, 截, (1/5), 接到, 乙管, 上, 9米, 原来, 乙管, 长}
一件衣服打0.9出售是270元，这件衣服的原价=多少元．	270/0.9=300.0	{衣服, 打折, 0.9, 出售, 270元, 原价}
广洋湖镇中心小学修筑一条长400米的环形塑胶跑道，已经完成了130米，剩下的要在30天内完成，平均每天要修筑多少米？	(400-130)/30=9.0	{广洋湖镇中心小学, 修筑, 环形塑胶跑道, 长400米, 完成130米, 剩余, 30天内, 平均每天, 修筑}
甲、乙两车同时从两地相对开出，4.5小时相遇．甲车每小时行36千米，乙车每小时行的路程是甲车的1.4倍，甲乙两地相距多少千米？	(36+36*1.4)*4.5=388.8	{甲, 乙, 两车, 相对, 开出, 4.5小时, 相遇, 甲车, 每小时, 36千米, 乙车, 1.4倍, 两地, 相距}
张师傅把一根木头锯成3段需要6分钟．如果把它锯成8段需要多少分钟．	6/(3-1)*(8-1)=21.0	{张师傅, 木头, 锯, 3段, 6分钟, 8段}
据有关资料显示，回收1千克废纸可生产0.8千克再生纸．在这学期学校开展的“节约一张纸”活动中，五年级二班的40名学生，平均每人回收废纸1.5千克．这个班回收的废纸可生产多少千克再生纸？	40*1.5*0.8=48.0	{回收, 废纸, 生产, 再生纸, 学期, 学校, 活动, 节约, 五年级二班, 学生, 平均, 回收废纸, 千克}
3、四年级的同学去植树，三年级有58人，四年级有67人．5名同学分为一组，一共可以分成多少组？	(58+67)/5=25.0	{三年级, 四年级, 同学, 植树, 58人, 67人, 5名同学, 一组, 分成, 组}
一件商品，现价42元，比原来降价12.5%，原来的售价=多少元？	42/(1-12.5%)=48.0	{商品, 现价, 42元, 降价, 12.5%, 原来售价}
甲乙两地相距450千米，客车和货车同时从两地相对开出5小时相遇，已知客车每小时行48千米，货车每小时行多少千米？	450/5-48=42.0	{甲乙, 两地, 相距, 450千米, 客车, 货车, 同时, 相对, 开出, 5小时, 相遇, 每小时, 行48千米, 行多少千米}
体育老师买来5箱乒乓球，每箱有6筒，每筒有12个，一共买来多少个乒乓球？	5*6*12=360.0	{体育老师, 买来, 5箱, 乒乓球, 每箱, 6筒, 每筒, 12个, 一共, 多少个}
为迎校庆，同学们做了24面黄旗，是红旗的60%，红旗做了多少面？	24/60%=40.0	{迎校庆, 同学们, 24面, 黄旗, 红旗, 60%, 多少面}
一种大豆120千克可榨油30千克．照这样计算，榨1千克油需要大豆多少千克．	120/30=4.0	{大豆，120千克，榨油，30千克，1千克，油，大豆}
有5升波萝汁，把它灌入能装(1/4)升的小瓶里，可以灌多少瓶．	5/(1/4)=20.0	{5升, 波萝汁, 灌入, (1/4)升, 小瓶, 灌多少瓶}
小刚家买来一袋面粉，吃了18千克，正好是这袋面粉的(3/4)，这袋面粉还剩多少千克？	18/(3/4)-18=6.0	{小刚家, 面粉, 18千克, 3/4, 剩余}
购物中心玩具柜购进了80个溜溜球，每个售价25元，全部卖出后赚了400元．每个溜溜球的进价=多少元？	(25*80-400)/80=20.0	{购物中心, 玩具柜, 购进, 80个, 溜溜球, 售价, 25元, 赚, 400元, 进价}
学校图书室有连环画2500本，比故事书的6倍还多100本，故事书有多少本？	(2500-100)/6=400.0	{学校图书室, 连环画, 2500本, 比故事书, 6倍, 还多100本, 故事书}
装配车间要装460台电脑，前2天平均每天装50台，剩下的要6天全部完成，平均每天装多少台？	(460-50*2)/6=60.0	{装配车间, 460台电脑, 前2天, 平均, 每天, 50台, 剩下的, 6天, 完成, 平均每天装, 多少台}
12/600的商加上400的和是90的多少倍？	(600/12+400)/90=5.0	{提取, 12/600, 商, 加上, 400, 和, 90, 倍}
一列火车从瑞安开往上海，行了全程的(3/5)，离瑞安450千米，瑞安到上海全程多少千米？	450/(3/5)=750.0	{火车, 瑞安, 上海, 全程, 3/5, 离, 450千米, 多少千米}
6个同学排成一排做操，每两个同学之间相隔2米，队伍一共长多少米．	(6-1)*2=10.0	{同学, 排成一排, 做操, 相隔, 2米, 队伍, 长度}
把45.5平均分成5份，每份=？	45.5/5=9.1	{把, 45.5, 平均分成, 5份, 每份, =}
甲乙两堆煤共重18吨，甲堆煤的(1/4)等于乙堆煤的(1/5)，甲堆煤多少吨？	18/(1+(1/4)/(1/5))=8.0	{甲, 乙, 两堆煤, 共重, 18吨, 甲堆煤, (1/4), 等于, 乙堆煤, (1/5), 多少吨}
有一袋米，第一周吃了12千克，第二周吃了40%，还剩下6千克．这袋米多少千克？	(12+6)/(1-40%)=30.0	{米，第一周，12千克，第二周，40%，剩下，6千克}
红云牧场有奶牛360头，比肉牛头数少(5/9)．红云牧场有肉牛多少头？	360/(1-(5/9))=810.0	{红云牧场, 奶牛, 360头, 比肉牛, 头数, 少, 5/9, 肉牛, 多少头}
学校将图书借给45个班，平均每班借136本，还剩下880本，学校共有图书多少本？	136*45+880=7000.0	{学校, 图书, 借, 45个班, 平均, 每班, 借136本, 还剩下, 880本, 共有}
某村去年种玉米240公顷，今年比去年多种20%，今年种玉米多少公顷？	240*(1+20%)=288.0	{去年, 种, 玉米, 240公顷, 今年, 比, 去年, 多, 20%, 种玉米, 多少公顷}
学校举行广播操表演．3、4、五年级各有3个班，每班选20人参加．参加表演的一共有多少人？	20*3*3=180.0	{学校, 广播操, 表演, 3年级, 4年级, 五年级, 3个班, 每班, 20人, 参加, 一共, 多少人}
小明和小军在学校环形跑道上跑步，两人从同一点出发，反向而行，小明每秒跑4米，小军每秒跑6米，经过60秒两人相遇，跑道的周长=多少米？	(4+6)*60=600.0	{小明, 小军, 学校, 环形跑道, 跑步, 同一点出发, 反向而行, 每秒跑4米, 每秒跑6米, 经过60秒, 相遇, 跑道周长}
王老师买8个足球花了360元，李老师买同样的足球花了540元，李老师买了几个足球？	540/(360/8)=12.0	{王老师，买，8个，足球，花了，360元，李老师，同样的，足球，花了，540元，李老师，买了，几个，足球？}
一堆煤用去(1/6)后，还剩150吨，这堆煤的20%=多少吨．	150/(1-(1/6))*20%=36.0	{一堆煤, 用去, (1/6), 后, 还剩, 150吨, 20%, 多少吨}
商场运来4吨桃子，运来西瓜的重量是桃子的(3/8)，运来西瓜多少吨？	4*(3/8)=1.5	{商场, 运来, 4吨, 桃子, 西瓜, 重量, 3/8, 多少吨}
小张正在画一本漫画，已经画完的比全部的25%还多12页，这时画完的页数与未画的比是2：3．这本漫画预计多少页？	12/(((2)/(2+3))-25%)=80.0	{小张, 画, 漫画, 25%, 多12页, 画完的页数, 未画的, 比是2：3, 预计, 页}
有一块长14厘米，宽9.8厘米，高3厘米的铁块，浸没在一个长方形的油箱中．取出铁块后，油的高度下降了1.2厘米．这个长方体油箱的底面积=多少平方厘米？	14*9.8*3/1.2=343.0	{长14厘米，宽9.8厘米，高3厘米，铁块，油箱，下降1.2厘米，底面积}
玲玲设计了一个“摸奖”活动方案．如果要使每个同学获奖的可能性为(1/4)，她先往盒子里放进2张“有奖”的纸条，还要往盒子里放进多少张“无奖”的纸条．	2/(1/4)-2=6.0	{玲玲, 设计, “摸奖”, 活动, 方案, 同学, 获奖可能性, 1/4, 盒子, “有奖”, 纸条, “无奖”, 纸条}
回收1吨废纸，能造出新纸820千克．一个回收站回收废纸27吨，可以造出新纸多少千克？	820*27=22140.0	{回收, 1吨, 废纸, 造出, 新纸, 820千克, 回收站, 27吨, 多少千克}
丁丁去南山游玩，上坡用了20分钟，平均每分钟走35米；下坡用了10分钟，平均每分钟走50米．丁丁从家到南山平均每分钟走多少米？	(35*20+50*10)/(20+10)=40.0	{丁丁, 南山, 游玩, 上坡, 20分钟, 平均, 每分钟, 走, 35米, 下坡, 10分钟, 50米, 家, 平均}
4门功课的总分是380分，则平均分=多少分．	380/4=95.0	{总分, 380分, 平均分}
一个梯形的上底与下底的和是20cm，梯形的高是8cm，面积=多少cm^2．	20*8/2=80.0	{梯形, 上底, 下底, 和, 20cm, 高, 8cm, 面积}
甲乙两军舰同时从两个巷口相对开出．甲军舰队每小时行48千米，乙军舰的速度是甲军舰的(2/3)，4小时两军舰相遇，两个巷口的距离=多少千米？	(48*(2/3)+48)*4=320.0	{甲乙, 两军舰, 相对开出, 甲军舰队, 每小时, 48千米, 乙军舰, 速度, 2/3, 4小时, 相遇, 两个巷口, 距离}
商场为迎接“十一”黄金周，所有的商品降价(1/5)销售．一件大衣降价后卖640元，这件大衣原价多少元？	640/(1-(1/5))=800.0	{商场, 迎接, “十一”, 黄金周, 商品, 降价, 1/5, 大衣, 640元, 原价}
学校组织植树劳动，平均每人植树4棵．一班有学生42人，二班有学生38人，两个班一共植树多少棵？	(42+38)*4=320.0	{学校, 组织, 植树, 劳动, 平均, 每人, 4棵, 一班, 学生, 42人, 二班, 38人, 两个班, 一共, 植树, 多少棵}
学校买来一批图书，如果每班分20本，可以分给9个班，现在需要分给10个班，每班只能分到多少本？	20*9/10=18.0	{学校, 买来, 一批, 图书, 每班, 分20本, 可以, 分给, 9个班, 现在需要, 分给, 10个班, 每班, 分到, 多少本}
一堆煤重(4/5)吨，用去了(1/5)吨，还乘多少吨？	(4/5)-(1/5)=0.6	{一堆煤, 重, (4/5)吨, 用去了, (1/5)吨, 还, 乘, 多少吨}
箱里放着同样个数的铅笔盒，如果从每只里拿出60个，那么5只箱里剩下铅笔盒的个数的总和等于原来2只箱里个数的和．原来每只箱里有多少个铅笔盒．	60*5/(5-2)=100.0	{箱, 个数, 铅笔盒, 每只, 拿出, 60个, 5只, 剩下, 总和, 原来 每个, 箱里, 有多少个}
一个因数是406，另一个因数是25，积=．	406*25=10150.0	{因数, 406, 另一个因数, 25, 积}
学校图书馆新买故事书650本，科技书200本，连环画150本，科技书占总数的百分之几？	200/(650+200+150)=0.2	{学校图书馆, 新买, 故事书, 650本, 科技书, 200本, 连环画, 150本, 百分之几}
实际完成计划的120%，实际比计划多完成多少．	120%-1=0.2	{实际, 完成, 计划, 120%, 比计划, 多完成, 多少}
10吨的(3/25)比(2/3)吨多多少？	10*(3/25)-(2/3)=0.5333333333333333	{10吨, (3/25), 比, (2/3)吨, 多多少}
如果某种奶粉含脂肪25%，那么450克奶粉中含脂肪=多少克．	450*25%=112.5	{如果，奶粉，含脂肪，25%，那么，450克，奶粉，中，含脂肪，多少克}
50减去它的50%，差=？	50-50*50%=25.0	{50, 减去, 50%, 差}
从640里面连续减去8，最多能减多少次．	640/8=80.0	{640, 连续减去, 8, 最多, 减, 多少次}
小敏的体重是30千克，是哥哥体重的(3/4)，哥哥的体重是爸爸体重的(4/5)，爸爸的体重=多少千克？	30/(3/4)/(4/5)=50.0	{小敏, 体重, 30千克, 哥哥, 3/4, 爸爸, 4/5}
大桥乡今年粮食比去年增产25%，今年收粮食80万吨，比去年增产多少万吨？	80/(1+25%)*25%=16.0	{大桥乡,今年,粮食,比去年,增产,25%,80万吨,多少万吨}
小明乘索道缆车上山途中发现从对面过来的缆车有100个，那么在这条索道上共有缆车多少个．	100+1=101.0	{小明, 索道, 缆车, 上山, 对面, 过来, 100个, 索道, 共有, 缆车, 多少个}
运一批蔬菜，原计划每车运1200千克，7车可以运完，实际每车运1680千克，实际多少车运完？	1200*7/1680=5.0	{运, 蔬菜, 原计划, 每车运, 1200千克, 7车, 可以运完, 实际, 1680千克, 实际多少车, 运完}
一批布料，第一天用去总数的(3/10)，第二天比第一天多用去64米，这时用去的布料和剩下的比是7：2．这批布料共有多少米？	64/(((7)/(7+2))-(3/10)*2)=360.0	{布料，第一天，总数的，3/10，第二天，64米，用去的布料，剩下的，比，7：2，共有}
王叔叔原来的工资是1500元，现在每月工资涨了300元．王叔叔的工资涨了百分之几？	300/1500=0.2	{王叔叔, 原来工资, 1500元, 现在, 每月工资, 涨, 300元, 工资涨, 百分之几}
0.07扩大100倍之后减去0.7，差=．	0.07*100-0.7=6.3	{0.07, 扩大, 100倍, 减去, 0.7, 差}
马路的一边原来每隔14米装一支木电杆，共装了56支，现在换成水泥电杆，每隔35米装一根即可，只装多少根就行．	14*(56-1)/35+1=23.0	{马路, 一边, 原来每隔14米, 装一支, 木电杆, 共装了56支, 现在, 换成, 水泥电杆, 每隔35米, 装一根, 只装, 多少根}
小华把过年的压岁钱500元2000年2月10日存入银行，一年期的年利率是5.67%，到期时可获本息多少元．	500+500*5.67%*1=528.35	{小华, 压岁钱, 500元, 2000年, 2月10日, 存入, 银行, 一年期, 年利率, 5.67%, 到期, 本息}
除数是6，商是70，余数3，被除数=．	70*6+3=423.0	{除数, 6, 商, 70, 余数, 3, 被除数}
一条路，第一周修了40%，第二周修了252米，两周共修了这条路的85%，这条路全长多少米？	252/(85%-40%)=560.0	{一条路，第一周，修，40%，第二周，修，252米，两周，共修，85%，这条路，全长，多少米}
甲数的(1/5)是10，则它的25%=．	10/(1/5)*25%=12.5	{甲数, 1/5, 10, 25%}
两个书法小组一共交了175幅作品，第一组15人，第二组20人．平均每人完成几幅作品？	175/(15+20)=5.0	{书法, 小组, 交, 175幅, 作品, 第一组, 15人, 第二组, 20人, 平均, 每人, 完成}
六年级一班有48名同学，其中(1/4)的人参加篮球比赛，(1/3)的人参加排球比赛，剩下的参加棋类活动．参加棋类活动的有多少人？	48-48*(1/4)-48*(1/3)=20.0	{六年级一班, 48名同学, (1/4), 篮球比赛, (1/3), 排球比赛, 剩下的, 棋类活动}
司机王叔叔从厦门出发到福州送货，前3小时的速度是60千米/小时，后2小时的速度是50千米/小时，王叔叔一共行驶了多少千米？	60*3+50*2=280.0	{司机, 王叔叔, 厦门, 出发, 福州, 送货, 前3小时, 速度, 60千米/小时, 后2小时, 50千米/小时, 一共, 行驶, 多少千米}
已知两个因数的积是7.5，其中一个因数是0.15，另一个因数=．	7.5/0.15=50.0	{已知, 两个因数, 积, 7.5, 一个因数, 0.15, 另一个因数}
一个面粉厂，用200千克小麦磨出170千克面粉．磨出的面粉占小麦总数的几分之几？	170/200=0.85	{面粉厂, 200千克, 小麦, 磨出, 170千克, 面粉, 占, 小麦总数, 几分之几}
甲容器中有浓度为2%的盐水180克，乙容器中有浓度为9%的盐水若干克，从乙中取出240克盐水倒入甲，此时，甲、乙两个容器内的食盐量相等．乙容器中原有盐水多少克．	(180*2%+240*9%)/9%+240=520.0	{甲容器, 浓度, 2%, 盐水, 180克, 乙容器, 9%, 若干克, 取出, 240克, 倒入, 食盐量, 相等, 原有}
一个数除以5，商是37，余数是4，这个数=．	37*5+4=189.0	{数，除以，5，商，37，余数，4，=}
小胖和小亚一起打一份1024个字的文稿，小胖每分钟打56个字，小亚每分钟打48个字，小亚先打了5分钟，剩下的由小胖来完成，小胖还需要几分钟才能打完？	(1024-48*5)/56=14.0	{小胖, 小亚, 打, 文稿, 1024个字, 每分钟, 56个字, 48个字, 先打了, 5分钟, 剩下的, 完成, 还需要, 几分钟}
学校图书馆有连环画114本，故事书的本数比连环画的12倍多87本，故事书有多少本？	114*12+87=1455.0	{学校图书馆, 连环画, 114本, 故事书, 12倍, 多87本}
甲、乙两车同时从A、B两地相对开出，当甲车行了全程的(5/7)时，乙车行了72千米；当甲车到达B地时，乙车行了全程的(7/10)．A、B两地相距多少千米？	72/((5/7)*(7/10))=144.0	{甲、乙、两车、同时、从、A、B、两地、相对、开出、全程、5/7、行了、72千米、到达、B地、7/10、相距、多少千米}
张兰从家到学校要用27分钟，她每分钟走67米，她家到学校有多远？	67*27=1809.0	{张兰, 家, 学校, 27分钟, 每分钟, 67米}
一捆电线长(1/2)米，第一次用去全长的20%，第二次用去(1/4)米，还剩下多少米？	(1/2)-(1/2)*20%-(1/4)=0.15	{一捆电线, 长, (1/2)米, 第一次, 用去, 全长, 20%, 第二次, (1/4)米, 还剩下, 多少米}
永明小学1-6年级的数学教师的年龄分别是27、35、40、37、45、32岁，那么他们的平均年龄=多少岁？	(27+35+40+37+45+32)/6=36.0	{永明小学, 1-6年级, 数学教师, 年龄, 27, 35, 40, 37, 45, 32岁, 平均年龄}
某筑路队5天挖土150方，现有750方土，需多少天挖？	750/(150/5)=25.0	{筑路队, 5天, 挖土, 150方, 750方, 土, 天, 挖}
小强要制作一个棱长为5分米的正方体无盖的鱼缸，至少需要多少平方分米的玻璃？	5*5*5=125.0	{小强, 制作, 棱长, 5分米, 正方体, 无盖, 鱼缸, 至少, 需要, 平方分米, 玻璃}
一个平行四边形的底和高都扩大5倍，它的面积扩大多少倍．	5*5=25.0	{平行四边形, 底, 高, 扩大, 5倍, 面积, 倍数}
小明从家去学校，已经行了(3/5)千米，已经行的路程比剩下的少(1/4)千米，小明从家到学校共有多少千米？	(3/5)+(1/4)+(3/5)=1.45	{小明, 家, 学校, 行了, (3/5)千米, 比剩下的少, (1/4)千米, 共有, 千米}
红星小学五年级有男生98人、女生112人、四年级学生人数比五年级少(2/7)，四年级有多少名学生？	(98+112)*(1-(2/7))=150.0	{红星小学, 五年级, 男生, 98人, 女生, 112人, 四年级, 学生人数, 比, 少, 2/7}
在集邮活动中，李丹收集了110张，李玉比李丹少收集20%．李玉收集邮票多少张？	110*(1-20%)=88.0	{集邮活动, 李丹, 110张, 李玉, 少收集, 20%, 邮票, 张}
一件西服原价2400元，现在打0.85出售．比原来便宜了多少元？	2400*(1-0.85)=360.0	{西服, 原价, 2400元, 打, 0.85, 出售, 便宜, 元}
16与24的和除以8，商=？	(16+24)/8=5.0	{16, 与, 24, 的, 和, 除以, 8, 商}
布袋里有30枝铅笔，其中红色铅笔20枝，绿色铅笔7枝，黄色铅笔3枝．任意摸一枝，摸出红色铅笔的可能性=．	20/30=0.6666666666666666	{布袋, 30枝, 铅笔, 红色, 20枝, 绿色, 7枝, 黄色, 3枝, 摸出, 红色, 铅笔, 可能性}
三年级4个班去春游，每班45人，学校准备了5辆汽车，平均每辆车要坐多少人？	45*4/5=36.0	{三年级, 4个班, 春游, 每班, 45人, 学校, 5辆汽车, 平均, 每辆车, 坐多少人}
一只蜗牛要爬一口9米深的枯井，它白天向上爬3米，晚上下滑2米，第多少天蜗牛能爬到井口．	(9-3)/(3-2)+1=7.0	{蜗牛, 爬, 9米, 深的, 枯井, 白天, 向上爬, 3米, 晚上下滑, 2米, 第, 天, 井口}
5（1）班有42名同学，会下象棋的有21名同学，会下围棋的有17名同学，两种棋都不会下的有10名同学．两种棋都会下的有多少名同学？	21+17+10-42=6.0	{5（1）班, 42名, 同学, 下象棋, 21名, 围棋, 17名, 两种棋, 不会下, 10名, 会下}
8只熊猫5天吃120千克玉米，平均每只熊猫每天吃玉米多少千克？	120/5/8=3.0	{熊猫, 8只, 5天, 120千克, 玉米, 平均, 每只, 每天, 吃}
一袋大米，用去了它的(3/4)，剩下的比用去的少几分之几？	(3/4)-(1-(3/4))=0.5	{一袋大米，用去了，3/4，剩下的，比，少，几分之几}
小明过年把500元压岁钱存入银行，定期1年，年利率是2.5%，到期小明一共可得多少元？	500+500*2.5%*1=512.5	{小明, 过年, 500元, 压岁钱, 存入, 银行, 定期, 1年, 年利率, 2.5%, 到期, 可得, 多少元}
仓库有雨伞36把，雨衣比雨伞多(1/9)，雨衣有多少件？	36*(1+(1/9))=40.0	{仓库, 雨伞, 36把, 雨衣, 比, 多, 1/9, 件}
一辆车平均每小时行驶x千米，6小时行驶了360千米．求速度=多少千米？	360/6=60.0	{x, 千米, 一辆车, 平均, 每小时, 行驶, 6小时, 360千米, 速度}
沪宁高速公路全长274千米，一辆汽车从南京开往上海，行驶3小时后离上海还有34千米，这辆汽车平均每小时行多少千米？	(274-34)/3=80.0	{沪宁高速公路, 全长, 274千米, 南京, 上海, 行驶, 3小时, 离, 还有, 34千米, 平均, 每小时, 行, 多少千米}
我国北方某地冬季最高气温2℃，而南极长城站同期的最高气温比北方该地最高气温的5倍还多1.7℃，南极长城站的最高气温=？	2*5+1.7=11.7	{我国, 北方, 某地, 冬季, 最高气温, 2℃, 南极, 长城站, 同期, 5倍, 还多, 1.7℃, 最高气温}
服装厂原来做一套童装用布2.4米，改进剪裁方法后，每套节省用布0.2米，原来做264套童装的布，现在可以做多少套？	264*2.4/(2.4-0.2)=288.0	{服装厂, 童装, 用布, 2.4米, 改进, 剪裁方法, 节省, 0.2米, 264套, 可以做, 多少套}
利民果园有梨树180棵，其中苹果树的棵数比梨树多(1/4)．果园里有苹果树多少棵？	180*(1+(1/4))=225.0	{利民果园, 梨树, 180棵, 苹果树, 棵数, 比, 多, (1/4)}
小明家到学校的路程有4千米，他已经走了3千米，还剩下几分之几没走？	(4-3)/4=0.25	{小明, 家, 学校, 路程, 4千米, 已经, 走了, 3千米, 剩下, 几分之几}
有一张硬纸板，王老师做数字卡片用了这张纸的(2/7)，做试题卡片用了这张纸的(4/7)．还剩下这张纸板的几分之几？	1-(2/7)-(4/7)=0.14285714285714285	{硬纸板，王老师，数字卡片，2/7，试题卡片，4/7，剩下，几分之几}
18的(5/9)+(2/5)/(7/15)的商，和=？	18*(5/9)+(2/5)/(7/15)=10.857142857142858	{18, 5/9, +, 2/5, /, 7/15, 商, 和}
动物园里有大象9头，金丝猴4只．金丝猴的数量是大象的((())/(()))．	4/9=0.4444444444444444	{动物园, 大象, 9头, 金丝猴, 4只, 数量, 是, ()}
图书室里连环画册的本数是科技书的(3/4)，故事书的本数是科技书的(1/3)．已知连环画册有90本，求故事书有多少本？	90/(3/4)*(1/3)=40.0	{图书室, 连环画册, 本数, 科技书, 3/4, 故事书, 1/3, 90本}
清达家电商场“5•一”期间开展大酬宾活动，全场家电按80%销售，原价150元的电饭锅，现在售价=多少元．	150*80%=120.0	{清达家电商场, “5•一”, 大酬宾活动, 全场家电, 80%, 售价, 150元, 电饭锅}
李老师买了2盒羽毛球，每盒有6个，一共花去48元．平均每个羽毛球多少元？	48/(2*6)=4.0	{李老师，买，2盒，羽毛球，每盒，6个，一共，花去，48元，平均，每个，多少元}
张华做乘法时把一个因数65写成了85，得到的积是7990，正确的结果=．	7990/85*65=6110.0	{张华, 乘法, 因数, 65, 85, 积, 7990, 正确的结果}
6是一个数的(2/9)，这个数=．	6/(2/9)=27.0	{6, 是, 一个数, 的, (2/9), 这个数, =}
一个修路队修一条公路．原计划每天修200米，15天完成任务．实际每天修250米，这样可以比原计划提前几天完成任务？	15-200*15/250=3.0	{修路队, 修, 公路, 原计划, 每天, 修200米, 15天, 完成任务, 实际, 修250米, 提前, 天}
妈妈今年36岁，女儿今年9岁，当女儿年龄是妈妈年龄的(2/5)时，女儿多少岁？	(36-9)/(1-(2/5))*(2/5)=18.0	{妈妈, 36岁, 女儿, 9岁, 年龄, 2/5}
张华读一本书，前6天每天读25页，以后每天多读5页，又经过4天后，正好读完，张华平均每天读多少页？	(25*6+(25+5)*4)/(6+4)=27.0	{张华, 读, 一本书, 前6天, 每天, 25页,以后, 每天, 多读, 5页, 经过, 4天, 正好, 读完, 平均, 每天, 读, 多少页}
